x          rho        P          Br         Bphi       Bz         ur         uphi       uz         T         
0.000000   1.125419   4.239102   -6.876350  0.676896   -1.119152  4.986225   -0.555760  -0.603841  5.216275  
0.020020   9.757281   -6.765012  -0.874733  6.006229   2.577798   1.199682   9.517263   -6.686806  6.717291  
0.040040   6.919432   -2.202899  -9.240067  8.369868   6.601628   -3.235789  2.920889   -9.325523  1.966297  
0.060060   5.792497   3.735026   -2.454876  4.210406   -0.636066  -8.835599  8.744918   -6.558608  6.354978  
0.080080   -8.713814  9.741589   -1.904547  6.309028   5.134236   4.024134   -2.498779  -6.598555  7.444869  
0.100100   0.441238   -7.499166  3.945175   1.892252   -5.257588  -7.070927  -4.594037  2.850815   -1.997609 
0.120120   3.501104   -3.791918  7.590495   1.661962   -9.516263  -2.991840  4.384464   6.366509   -6.878295 
0.140140   0.437719   -0.247974  3.430226   -6.056605  -7.759340  -6.180645  -7.210497  -9.328869  4.973073  
0.160160   -1.147082  -4.339461  4.477250   0.953749   1.580449   0.891812   3.672500   2.083894   -0.018979 
0.180180   3.040107   6.167799   -1.274658  -9.980312  0.121734   5.161377   -9.977654  -4.980337  5.260076  
0.200200   7.562347   3.465204   6.857471   -7.257078  -5.961392  -4.447704  -7.409465  8.943896   -2.159827 
0.220220   3.095605   6.003834   -7.832302  -6.995978  -7.014782  8.489496   0.899455   -5.034278  6.393430  
0.240240   -6.378218  6.148619   1.800700   8.847155   -4.799618  6.343693   -4.919880  8.610096   5.033466  
0.260260   -9.748111  6.118443   -1.625201  6.858163   3.054038   6.240559   -3.989830  -6.365451  -4.173875 
0.280280   -7.781817  -8.637212  1.668494   3.466232   4.538376   0.097755   5.376542   8.148462   -5.340083 
0.300300   -4.133978  6.234001   0.076346   -7.131536  -4.674918  -8.511539  -0.715682  4.318598   6.161799  
0.320320   -0.271602  4.797951   -7.352238  -4.533971  6.717442   -4.507861  2.248566   4.263660   8.695943  
0.340340   -9.775830  8.885463   -7.591368  1.970916   4.279948   8.355017   -8.702579  -5.291367  -7.311242 
0.360360   -0.749099  3.468644   -5.794539  2.891560   -1.724805  2.677924   1.055660   6.857486   3.768679  
0.380380   8.792082   2.650016   7.795250   3.482607   -4.281554  7.328125   4.567455   7.358844   -4.728502 
0.400400   4.021194   7.091841   9.314599   -4.441164  4.403093   2.887302   -3.348123  9.979927   2.391729  
0.420420   2.363600   -8.186798  2.226749   -5.758401  5.965616   8.369670   -8.322985  -4.771998  -2.711918 
0.440440   2.904175   3.972587   -5.861856  7.681713   -4.053397  0.759247   -8.598070  0.721821   -2.247691 
0.460460   9.411600   -2.063842  -2.814763  4.884454   -2.905920  7.860051   4.175980   -4.257394  5.343713  
0.480480   9.122213   -3.069915  8.091350   -7.293507  -3.875255  0.925947   -0.425929  -5.084356  8.355301  
0.500501   5.981724   2.523075   4.796694   3.406904   -8.827939  -8.874664  -3.363604  8.802348   1.961609  
0.520521   5.747888   9.210746   -3.184987  -2.569707  4.658236   -3.151399  -4.706236  1.907482   -2.170466 
0.540541   -5.383528  1.684907   -8.496359  -3.807091  -3.991749  2.957753   0.200254   3.008841   -9.009152 
0.560561   -4.049226  7.456329   9.082053   4.133434   -8.582829  0.427140   -8.557826  8.639000   -2.210937 
0.580581   0.643968   8.214966   -4.775607  -4.603401  5.359013   3.877384   3.387079   5.812593   1.437182  
0.600601   -8.760257  7.693429   5.089811   -2.521182  4.121292   -3.070600  -4.007666  0.017091   6.801425  
0.620621   3.752092   -3.824209  -1.661901  -2.636770  4.819567   6.032144   -0.239042  -2.379942  5.746345  
0.640641   -2.079028  1.778526   -0.310547  -0.225877  -2.626594  2.478448   5.100799   0.452159   1.396028  
0.660661   -6.251766  3.904300   5.076418   -7.458081  -6.617016  3.170917   -5.681008  -9.520969  5.677747  
0.680681   5.323535   -1.635035  7.861900   9.690716   2.161968   -0.717355  5.299412   -2.958677  0.104220  
0.700701   -6.268176  -8.031592  0.294372   4.434643   1.243955   -8.102126  3.196573   1.812531   -5.593152 
0.720721   6.596336   9.000235   -2.568439  1.020446   -8.191408  2.119194   2.787376   8.558171   5.597490  
0.740741   -7.236303  0.259566   -2.164076  0.899722   6.010218   -7.831214  8.307021   -1.133849  5.966647  
0.760761   -9.779781  9.194393   -1.191443  4.133673   6.071111   -1.818929  -9.691339  -4.607774  0.380070  
0.780781   -7.344471  5.898366   5.944827   2.009032   4.177587   6.621918   -8.713501  8.339354   -4.505215 
0.800801   -3.763422  -4.169059  -0.173646  -4.122892  -2.265797  -5.671740  -0.445226  6.595327   8.599376  
0.820821   -2.959181  6.525281   -2.385976  -9.551497  -8.010970  -4.127292  -8.059809  7.366252   0.596270  
0.840841   -5.937943  -3.369014  5.318706   8.614365   -6.386883  -8.311019  -8.517074  -3.321429  -8.576238 
0.860861   -0.995865  8.121966   -2.235798  1.437447   1.827682   -5.345370  0.457939   8.459057   -4.824710 
0.880881   2.786841   -5.289575  4.846850   -3.389049  4.608037   5.904959   3.712460   7.440173   -8.003005 
0.900901   9.916023   6.598741   -0.159635  -9.777243  2.308629   -6.684397  8.136611   -2.575486  -0.317205 
0.920921   5.970517   4.399586   -8.368708  -2.115133  -2.142520  -9.210958  -1.302480  7.806551   -1.257741 
0.940941   -3.384106  0.564878   3.649471   -0.287169  -4.117276  -5.475399  4.174094   5.378916   -4.833182 
0.960961   1.917472   4.735627   -5.119929  -9.767081  -2.368483  -6.758023  -3.810615  -2.790496  2.698613  
0.980981   3.263911   -6.027122  1.916275   -4.992628  -6.880372  -8.462199  4.881099   -3.907224  -1.971264 
1.001001   -1.620224  -4.884706  3.463793   -8.987083  0.547862   -0.107487  -1.712424  -1.157177  -9.211250 
1.021021   -9.482793  -5.260090  -6.956027  -0.709737  -8.340124  -7.572074  -8.705010  -0.070513  0.704612  
1.041041   9.321759   5.049605   2.041158   1.606355   9.049064   -1.660829  4.429207   4.202432   2.196841  
1.061061   -5.342715  -2.970900  -1.444539  -3.957817  -2.148108  -9.472708  -5.150692  -2.291765  -4.768207 
1.081081   -4.365547  -6.601523  3.718150   3.536742   4.238034   -6.705101  3.681696   -1.946201  -8.048132 
1.101101   -4.415359  3.166293   7.609506   -9.297461  3.299089   -7.282134  -8.160041  -3.252118  0.631733  
1.121121   4.446737   8.442098   3.393719   -2.536219  -5.923451  -1.542656  4.705852   -1.942968  -9.017071 
1.141141   -6.479693  5.334765   2.377241   -1.093786  -4.811204  -2.739963  -1.090632  2.434044   -4.155183 
1.161161   2.982616   0.072163   6.263225   5.613678   -3.939652  -3.937711  9.774046   8.280980   -4.234649 
1.181181   0.432803   -3.815617  -7.938854  6.792496   -3.963153  -7.137252  6.143792   5.013580   -5.935562 
1.201201   1.933306   3.005694   -8.227859  7.548217   4.123887   -1.940332  5.763400   4.207923   -1.160720 
1.221221   -5.029398  4.793296   -7.254624  8.650176   7.431225   2.118367   1.403948   6.548212   8.864817  
1.241241   -7.983381  5.319416   -2.153707  1.284429   2.425916   6.710810   3.380273   -3.209310  6.979347  
1.261261   -1.316974  -2.054426  8.554577   -4.765454  8.676042   -3.652123  5.395220   9.704773   9.947951  
